timestamp,motor_current_A,wheel_rpm,imu_accel_g,battery_soc,temp_motor_C
2026-08-24T22:00:00,2.100,119.9,1.0012,0.9500,35.0
2026-08-24T22:00:01,2.114,119.2,0.9980,0.9500,34.9
2026-08-24T22:00:02,2.094,120.5,1.0015,0.9499,34.9
2026-08-24T22:00:03,2.102,120.9,1.0009,0.9499,35.0
2026-08-24T22:00:04,2.145,119.5,0.9942,0.9499,35.0
2026-08-24T22:00:05,2.143,120.1,0.9996,0.9499,35.0
2026-08-24T22:00:06,2.154,121.2,1.0011,0.9499,35.0
2026-08-24T22:00:07,2.147,120.9,0.9928,0.9498,35.1
2026-08-24T22:00:08,2.159,121.0,0.9909,0.9498,35.1
2026-08-24T22:00:09,2.133,119.9,0.9990,0.9498,35.1
2026-08-24T22:00:10,2.158,121.5,1.0084,0.9498,35.1
2026-08-24T22:00:11,2.168,119.8,1.0027,0.9498,35.1
2026-08-24T22:00:12,2.155,120.3,0.9966,0.9497,35.1
2026-08-24T22:00:13,2.181,121.1,1.0029,0.9497,35.1
2026-08-24T22:00:14,2.183,121.7,1.0100,0.9497,35.2
2026-08-24T22:00:15,2.193,120.3,0.9936,0.9497,35.3
2026-08-24T22:00:16,2.204,120.8,1.0098,0.9497,35.2
2026-08-24T22:00:17,2.210,121.3,1.0035,0.9496,35.2
2026-08-24T22:00:18,2.203,121.8,0.9959,0.9496,35.2
2026-08-24T22:00:19,2.233,121.0,0.9901,0.9496,35.1
2026-08-24T22:00:20,2.227,120.9,1.0091,0.9496,35.1
2026-08-24T22:00:21,2.199,120.7,0.9956,0.9496,35.1
2026-08-24T22:00:22,2.225,121.0,0.9981,0.9495,35.1
2026-08-24T22:00:23,2.233,120.9,1.0072,0.9495,35.1
2026-08-24T22:00:24,2.220,122.7,0.9997,0.9495,35.2
2026-08-24T22:00:25,2.243,121.8,0.9905,0.9495,35.2
2026-08-24T22:00:26,2.224,121.8,0.9932,0.9495,35.2
2026-08-24T22:00:27,2.242,122.4,0.9961,0.9494,35.2
2026-08-24T22:00:28,2.274,122.9,1.0011,0.9494,35.3
2026-08-24T22:00:29,2.247,122.1,1.0098,0.9494,35.3
2026-08-24T22:00:30,2.250,122.7,0.9952,0.9494,35.3
2026-08-24T22:00:31,2.256,122.6,0.9987,0.9494,35.3
2026-08-24T22:00:32,2.264,121.4,1.0071,0.9493,35.3
2026-08-24T22:00:33,2.271,122.5,0.9988,0.9493,35.3
2026-08-24T22:00:34,2.276,122.4,1.0026,0.9493,35.3
2026-08-24T22:00:35,2.284,122.5,0.9957,0.9493,35.4
